organization,repository,branch,title,is_shielded,linked_shielded_repo,enable_in_runtime,tags,description
odoo,odoo,,,False,,False,"15.0,16.0,17.0,18.0",
odoo,design-themes,,,False,,False,"15.0,16.0,17.0,18.0",
oca,fleet,,,False,,False,"15.0,16.0,17.0",
oca,queue,,,False,,False,"15.0,16.0,17.0,18.0",
oca,reporting-engine,,,False,,False,"15.0,16.0,17.0,18.0",
oca,spreadsheet,,,False,,False,"15.0,16.0,17.0",
oca,geospatial,,,False,,False,"15.0,16.0,17.0",
oca,OpenUpgrade,,,False,,False,"15.0,16.0,17.0,18.0",
oca,iot,,,False,,False,"15.0,16.0,17.0",
oca,server-ux,,,False,,False,"15.0,16.0,17.0,18.0",
oca,connector,,,False,,False,"15.0,16.0,17.0,18.0",
oca,account-invoicing,,,False,,False,"15.0,16.0,17.0,18.0",
oca,account-invoice-reporting,,,False,,False,"15.0,16.0,17.0,18.0",
oca,account-reconcile,,,False,,False,"15.0,16.0,17.0,18.0",
oca,account-financial-reporting,,,False,,False,"15.0,16.0,17.0,18.0",
oca,account-financial-tools,,,False,,False,"15.0,16.0,17.0,18.0",
oca,bank-statement-import,,,False,,False,"15.0,16.0,17.0,18.0",
oca,credit-control,,,False,,False,"15.0,16.0,17.0,18.0",
oca,margin-analysis,,,False,,False,"15.0,16.0,17.0,18.0",
oca,brand,,,False,,False,"15.0,16.0,17.0,18.0",
oca,management-system,,,False,,False,"15.0,16.0,17.0,18.0",
oca,purchase-workflow,,,False,,False,"15.0,16.0,17.0,18.0",
oca,pos,,,False,,False,"15.0,16.0,17.0",
oca,web,,,False,,False,"15.0,16.0,17.0,18.0",
oca,website,,,False,,False,"15.0,16.0,17.0,18.0",
oca,hr,,,False,,False,"15.0,16.0,17.0,18.0",
oca,payroll,,,False,,False,"15.0,16.0,17.0,18.0",
oca,project,,,False,,False,"15.0,16.0,17.0,18.0",
oca,sale-workflow,,,False,,False,"15.0,16.0,17.0,18.0",
oca,server-auth,,,False,,False,"15.0,16.0,17.0,18.0",
oca,server-tools,,,False,,False,"15.0,16.0,17.0,18.0",
oca,server-brand,,,False,,False,"15.0,16.0,17.0,18.0",
oca,product-attribute,,,False,,False,"15.0,16.0,17.0,18.0",
oca,partner-contact,,,False,,False,"15.0,16.0,17.0,18.0",
oca,knowledge,,,False,,False,"15.0,16.0,17.0,18.0",
oca,dms,,,False,,False,"15.0,16.0,17.0",
odoonix,online,,,True,online,True,"15.0,16.0,17.0",
odoonix,payment,,,True,payment,True,"15.0,16.0,17.0,18.0",
odoonix,geospatial,,,True,,True,"15.0,17.0",
odoonix,municipality,,,True,,True,"17.0,18.0",
odoonix,sms,,,True,,True,"15.0,16.0,17.0",
odoonix,website,,,True,,True,"15.0,16.0,17.0",
odoonix,server-tools,,,True,,True,"17.0,18.0",
